,Unnamed: 0,Title,Price,Location,Description,Condition,year,Make,Model,Trim,Color,Body Type,Number of Doors,Number of Seats,Drive Train,Transmission,Mileage
151,151,Dodge Ram conversion van,"$11,500.00 ",City of Toronto 19/10/2022,"Great conversion van. 4 comfy captains chairs and Bench in the back folds into a bed Cool interior lights. All work done to pass safety and run as it should within the last 6 months and and all ...
Automatic | 194,000 km",Used,2001.0,Dodge,Ram Van,,,"Minivan, Van",5,7,,Automatic,"194,000"
152,152,2016 Ford Explorer FWD 4dr Base,"$22,990.00 ",Mississauga / Peel Region 17/10/2022,"Welcome to the 22G Family. We are a family owned dealership providing outstanding customer service. Our success has been built on our reputation of selling quality pre-owned vehicles that have gone ...
Automatic | 147,192 km",Used,2016.0,Ford,Explorer,FWD 4dr Base,Black,"SUV, Crossover",,,Front-wheel drive (FWD),Automatic,"147,192"
153,153,2007 BMW 335i RWD MANUAL with Navigation package,"$12,499.00 ",City of Toronto 18/10/2022,"VIN: WBAWB73567P023060 Engine: 3L 6-Cyl Mileage: 171993 km Exterior Color: Silver Interior Color: Black leather Safety: Not included 6 Months/6000km powertrain warranty included with all cars we ...
Manual | 171,993 km",Used,2007.0,BMW,Other,335i Coupe RWD,Silver,Coupe (2 door),2,,Rear-wheel drive (RWD),Manual,"171,993"
154,154,2022 Jeep Grand Cherokee L LIMITED,"$67,999.00
MSRP: $69,925.00",NEW CAR Oakville / Halton Region < 35 minutes ago,"COME SEE WHY PEOPLE BUY FROM MILTON CHRYSLER TODAY!! CREDIT ISSUES? WE CAN GET YOU THE CAR YOU WANT TODAY!!! WE SELL NEW & USED VEHICLES ALL OVER CANADA! * Selling Price does not include HST & ...
THE SHARPEST DEALS IN TOWN
Automatic",New,2022.0,Jeep,Other,LIMITED,Other,"SUV, Crossover",4,7,Other,Automatic,
155,155,2019 Kia Sportage EX AWD,"$19,880.00 ",City of Toronto < 36 minutes ago,"NICE CLEAN CAR 4CYLANDER CROSSOVER APPLE CAR PLAY BACUP CAMERA HEATED SEAT AND STEERING MORE PICTURE AFTER CLEANING Engine: 2.4 L 4 Cylinder
Automatic | 179,980 km",Used,2019.0,Kia,Sportage,EX AWD,White,"SUV, Crossover",,,All-wheel drive (AWD),Automatic,"179,980"
156,156,"2017 Toyota Corolla 50th Anniversary,Sunroof,Lane Assist,Camera,Bluetooth,Alloy*Certified*","$19,988.00 ",Mississauga / Peel Region < 36 minutes ago,"50th ANNIVERSARY EDITION SUNROOF LANE ASSIST COLLISION WARNING CAMERA CERTIFIED Like new White on Dark Grey interior Corolla.... 50th Anniversary Edition Loaded with the following options.. Sunroof ...
Automatic | 131,000 km",Used,2017.0,Toyota,Corolla,"50th Anniversary,Sunroof,Lane Assist,Camera,Bluetooth,Alloy*Certified*",White,Sedan,,,Front-wheel drive (FWD),Automatic,"131,000"
157,157,2017 Toyota 4Runner SR5 Navigation /Sunroof /Leather /7Pass,"$37,995.00 ",City of Toronto < 37 minutes ago,"***FREE 2 YR POWERTRAIN WARRANTY WITH EVERY VEHICLE PURCHASE***SR5 4X4!!!NAVIGATION,REAR VIEW CAMERA,SILVER/BLK LEATHER,SUNROOF,7 PASSENGER,MINT INSIDE AND OUT,149.000KM FOR ONLY $37.995.Interested ...
Automatic | 149,000 km | CARFAX Canada Report",Used,2017.0,Toyota,4Runner,SR5 Navigation /Sunroof /Leather /7Pass,Silver,"SUV, Crossover",,,4 x 4,Automatic,"149,000"
158,158,2021 RAM 1500 Big Horn | CREW | ALPINE AUDIO | HEATED SEATS |...,"$47,950.00
$50,498.00",Oakville / Halton Region < 38 minutes ago,"Fairview Chrysler Dodge Limited is a family owned and operated dealership that offers a wide variety of automotive products and services for markets in Burlington, Hamilton, Oakville, and beyond. ...
Burlington's Original Chrysler Store Since 1974
Automatic | 33,344 km | CARFAX Canada Report",Used,2021.0,Ram,1500,Big Horn,Silver,Other,,,4 x 4,Automatic,"33,344"
159,159,2014 Volkswagen Jetta Comfortline 1.8T 6sp at w/ Tip,"$9,800.00 ",Mississauga / Peel Region < 38 minutes ago,"Over 1000 Positive Google Reviews combined!!! Superior Level of Guest Experience and Satisfaction, Unrivalled Pricing, Three Locations to Serve You!!! Don't Miss Your Chance to Experience a New Way ...
NO ADMINISTRATION FEE!!! CARPROOF OR AUTOCHECK INCLUDED AT NO EXTRA CHARGE!!! GOOD, BAD, NEW CREDIT IS APPROVED!!! VISIT WWW.ALLAPPROVED.CA!!!
Automatic | 222,000 km",Used,2014.0,Volkswagen,Jetta,Comfortline 1.8T 6sp at w/ Tip,Other,Sedan,,,Other,Automatic,"222,000"
160,160,2012 Acura TL 4dr Sdn Auto SH-AWD,"$7,500.00 ",Mississauga / Peel Region < 39 minutes ago,"Anti-Lock Brakes;Driver Air Bag;Fog Lights;Passenger Air Bag;Side Air Bag;Traction Control;Heated Mirrors;Power Mirrors;Power Windows;Rear Window Defrost;Tinted Glass;Air Conditioning;Cruise ...
1 (888) 591-9254
Automatic | 253,116 km | CARFAX Canada Report",Used,2012.0,Acura,TL,4dr Sdn Auto SH-AWD,Other,Sedan,,,All-wheel drive (AWD),Automatic,"253,116"
161,161,2019 Land Rover Range Rover Sport HSE TD6 | DIESEL | 21 IN WHEELS | MERIDIAN | NAV,"$73,910.00 ",Mississauga / Peel Region < 40 minutes ago,"Navigation, GPS, Navi, Bluetooth, Panoramic Sunroof / Moonroof, Back-Up Camera, Leather Interior, Local Trade, Power Liftgate, Heated Seats, Cooled Seats, Sirius XM Radio, Service Records Available, ...
WINNER OF 2014 USED CAR DEALER OF THE YEAR AND 2015 CONSUMER SATISFACTION AWARD
Automatic | 80,416 km",,,,,,,,,,,,
162,162,2022 Nissan Frontier S | 4X4 | TONNAEU COVER | BLACKED OUT ALLOY |,46988,Markham / York Region 26/10/2022,"Stouffville Nissan is a part of Ontario's Largest Nissan Canada dealer group. From Toronto, Woodbridge, Maple, Richmond Hill and Stouffville the Alta Group is equipped to help you attain one of the ...
Automatic | 699 km",Used,2022.0,Nissan,Frontier,S | 4X4 | TONNAEU COVER | BLACKED OUT ALLOY |,Red,Pickup Truck,4,4,4 x 4,Automatic,699
163,163,2014 Ford Fusion Energi Titanium | Leather | Heated Seats,16997,Provincial Top Ad:  Ottawa < 14 hours ago,"417 Nissan offer no hassle buying experience. We check and adjust our prices daily to make sure that our vehicles are priced to the market. Free Carfax report with every vehicle purchase. We are ...
Automatic | 139,147 km | CARFAX Canada Report",Used,2014.0,Ford,Fusion,Titanium | Leather | Heated Seats | Camera |,White,Sedan,4,5,Front-wheel drive (FWD),Automatic,139147
164,164,2021 Mazda CX-3 GT,29995,Mississauga / Peel Region 26/10/2022,"Engine: 4 Cylinder Engine 2.0L L/100Km City: 8.6 L/100Km Hwy: 7.4
Award Winning Vehicles, Award Winning Service
Automatic | 67,061 km | CARFAX Canada Report",Used,2021.0,Mazda,CX-3,GT,Other,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,67061
165,165,2011 dodge grand carvan,6500,Mississauga / Peel Region 29/10/2022,"Beautiful van! No engines lights! Ac blows ice cold! Rear stown go! Auto stater(400). No rust!! No leaks! Shouldnt need much for safety my dad took care of van!!
Automatic | 225 km",Used,2011.0,Dodge,Caravan,,White,"Minivan, Van",4,7,Front-wheel drive (FWD),Automatic,225
166,166,2015 Honda Pilot 4WD 4dr LX,12700,City of Toronto 22/10/2022,"BEST PRICE IN WHOLE MARKET, EXTRA CLEAN 7 PASSENGERS, FREE OF ACCIDENT CLEAN CARFAX!! COMES WITH 3 YEARS WARRANTY FULLY CERTIFIED, SUPER RELIABLE WELL AFFORDABLE QUALITY JAPANESE SUV. LOOKS DRIVES ...
Automatic | 261,400 km",Used,2015.0,Honda,Pilot,4WD 4dr LX,Brown,"SUV, Crossover",,,4 x 4,Automatic,261400
167,167,2012 Chevrolet Malibu 4dr Sdn LT Platinum Edition,7998,Markham / York Region < 3 minutes ago,"Just Arrived... - Clean CarFax - Accident Free - 2 years Power-train Warranty ___Our 2012 Chevrolet Malibu 2LT is sleek and sporty! Motivated by a 2.4 Liter 4 Cylinder that produces 169hp paired to ...
*Family Owned Dealership, We Treat Everyone Like Family*70 Cars/SUVs in Stock* FINANCING Any Car & Any Credit, Car Buying Made EASY *OPEN 7 DAYS*
Automatic | 150,000 km",Used,2012.0,Chevrolet,Malibu,4dr Sdn LT Platinum Edition,Other,Sedan,4,5,Front-wheel drive (FWD),Automatic,150000
168,168,2017 Porsche Cayenne,"$42,888.00
$46,888.00",Mississauga / Peel Region < 3 minutes ago,"HEATED AND COOLED SEATS! NAVIGATION! LEATHER! PANO ROOF! 20 ALLOY RIMS! This 2017 Porsche Cayenne Platinum Edition coated in a stunning Carrara White is a fresh trade in at The Auto Show. It has ...
Automatic | 111,226 km | CARFAX Canada Report",Used,2017.0,Porsche,Cayenne,,Other,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,111226
169,169,2022 Kia Seltos SX Turbo w/Black Interior COME EXPERIENCE THE...,42990,Oshawa / Durham Region < 3 minutes ago,"WAS: $44990 NOW: $42990 plus taxes and licensing fees *PLEASE CALL 905-720-2277 TO BOOK AN APPOINTMENT* *PRICE ADVERTISED AT $42,990 IS OUR FINANCE INCENTIVE PRICE. THE CASH PRICE IS $44,990 PLUS ...
At Davey Auto Sales Everybody Drives!
Automatic | 10,264 km | CARFAX Canada Report",Used,2022.0,Kia,Seltos,SX Turbo w/Black Interior,Blue,"SUV, Crossover",,,All-wheel drive (AWD),Automatic,10264
170,170,2008 Kia Rondo EX V6 2 Years Power-train Warranty included,2500,Markham / York Region < 3 minutes ago,"Just Arrived... Comes with 2 years power-train warranty. This 2008 Kia Rondo comes with 2 years powertrain warranty and will be sold in AS/IS condition due to age of the vehicle, we do not safety ...
*Family Owned Dealership, We Treat Everyone Like Family*70 Cars/SUVs in Stock* FINANCING Any Car & Any Credit, Car Buying Made EASY *OPEN 7 DAYS*
Automatic | 317,000 km",Used,2008.0,Kia,Rondo,EX V6 2 Years Power-train Warranty included,Other,"SUV, Crossover",4,5,Front-wheel drive (FWD),Automatic,317000
171,171,2014 Ford F-250 Crew Cab Long Box 4WD,27999,City of Toronto < 3 minutes ago,"GMM Auto Sales Limited CarFax available for every vehicle on the lot. This vehicle is being sold safety certified at the advertised price. Taxes and Licensing are EXTRA. GMM Auto Sales is a large ...
Automatic | 92,311 km | CARFAX Canada Report",Used,2014.0,Ford,F-250,Crew Cab Long Box 4WD,White,Pickup Truck,4,5,4 x 4,Automatic,92311
172,172,2011 Ford F-450 Diesel Dually Regular Cab Utility Box 2WD,29999,City of Toronto < 3 minutes ago,"GMM Auto Sales Limited CarFax available for every vehicle on the lot. This vehicle is being sold safety certified at the advertised price. Taxes and Licensing are EXTRA. GMM Auto Sales is a large ...
Automatic | 140,824 km | CARFAX Canada Report",Used,2011.0,Ford,Other,Diesel Dually Regular Cab Utility Box 2WD,White,Pickup Truck,2,3,Rear-wheel drive (RWD),Automatic,140824
173,173,2021 Lexus UX UX 250h CVT >>No accidnet<<,48985,City of Toronto < 4 minutes ago,"One owner vehicle with Low mileage Feature with 2.0L Hybrid engine, Automatic transmission, 4 wheel control, Power sunroof and tail gate, Leather interior, Bluetooth connectivity, Navigation system, ...
Automatic | 13,900 km | CARFAX Canada Report",Used,2021.0,Lexus,Other,UX 250h CVT &gt;&gt;No accidnet&lt;&lt;,Other,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,13900
174,174,2021 Lexus RX RX 350 Auto >>No accident<<,52985,City of Toronto < 4 minutes ago,"One owner with no accident and low mileage Feature with 3.5L V6 engine, Automatic transmission, Bluetooth connectivity, Power sunroof, Leather interior, Alloy wheels, Power windows, door locks and ...
Automatic | 12,925 km | CARFAX Canada Report",Used,2021.0,Lexus,RX,RX 350 Auto &gt;&gt;No accident&lt;&lt;,Other,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,12925
175,175,2016 Honda Accord Sedan Touring | NO ACCIDENTS | SUNROOF | BT | CAM | NAV,19988,Oakville / Halton Region < 4 minutes ago,"This 2016 Honda Accord Touring is powered by the 2.4L 4cyl engine and is paired with a Front Wheel Drive drivetrain! The black interior features heated leather seats with power adjustment controls, ...
Manual | 172,288 km",Used,2016.0,Honda,Accord,Touring | NO ACCIDENTS | SUNROOF | BT | CAM | NAV,Grey,Sedan,4,5,Front-wheel drive (FWD),Manual,172288
176,176,2020 Honda Accord Sedan Touring 2.0 Auto Heated & Vented Seats,35777,City of Toronto < 6 minutes ago,"ALG Residual Value Awards, Residual Value Awards. This 2020 Honda Accord Sedan Touring 2.0 Auto is safe and reliable. It delivers a Intercooled Turbo Regular Unleaded I-4 2.0 L/122 engine powering ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic | 79,902 km",Used,2020.0,Honda,Accord,Touring 2.0 Auto Heated & Vented Seats Sunroof Navigation,Other,"Minivan, Van",4,5,Front-wheel drive (FWD),Automatic,79902
177,177,2019 Chevrolet Equinox LS | No Accidents | Camera | Remote Start,22498,Oakville / Halton Region < 6 minutes ago,"This 2019 Chevrolet Equinox LS is powered by the 1.5L 4cyl engine and is paired with a All Wheel Drive drivetrain! The grey interior features heated cloth seats, push-to-start ignition, cruise ...
Automatic | 110,019 km",Used,2019.0,Chevrolet,Equinox,LS | No Accidents | Camera | Remote Start,Silver,"SUV, Crossover",4,8,All-wheel drive (AWD),Automatic,110019
178,178,2019 Chevrolet Equinox ALL-WHEEL DRIVE LT-MODEL 5 PASSENGER 1.5L - TURBO.. HEATED SEATS.. BACK-UP C,31995,Markham / York Region < 7 minutes ago,"1.5L - 4 CYL - ECO-TEC - DOHC 16 VALVE TURBO ENGINE ALL-WHEEL DRIVE SYSTEM CLOTH INTERIOR HEATED FRONT SEATS TOUCH SCREEN DISPLAY AM/FM RADIO PLAYER AUX INPUT USB CONNECTION BLUETOOTH SYSTEM REVERSE ...
Don't Trust Your Luck! TRUST OUR REPUTATION
Automatic | 15,000 km",Used,2019.0,Chevrolet,Equinox,ALL-WHEEL DRIVE LT-MODEL 5 PASSENGER 1.5L - TURBO.. HEATED SEATS.. BACK-UP CAMERA.. BLUETOOTH SYSTEM.. TOUCH SCREEN DISPLAY..,Silver,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,15000
179,179,2015 Chevrolet SILVERADO 2500HD Crew Cab Long Box,31999,City of Toronto < 8 minutes ago,"GMM Auto Sales Limited CarFax available for every vehicle on the lot. This vehicle is being sold safety certified at the advertised price. Taxes and Licensing are EXTRA. GMM Auto Sales is a large ...
Automatic | 141,024 km",Used,2015.0,Chevrolet,Silverado 2500,Crew Cab Long Box,Grey,Pickup Truck,4,5,Rear-wheel drive (RWD),Automatic,141024
180,180,2022 Volkswagen Tiguan ALL-WHEEL DRIVE SE-MODEL 5 PASSENGER 2.0L - TURBO.. LEATHER.. HEATED SEATS..,47995,Markham / York Region < 8 minutes ago,"2.0L - 4 CYL - DOHC 16 VALVE TURBO ENGINE 4-MOTION ALL-WHEEL DRIVE SYSTEM SELECT-TERRAIN-SHIFTING-PACKAGE LEATHER INTERIOR HEATED FRONT SEATS TOUCH SCREEN DISPLAY AM/FM RADIO PLAYER USB CONNECTION ...
Don't Trust Your Luck! TRUST OUR REPUTATION
Automatic | 16,000 km",Used,2022.0,Volkswagen,Tiguan,ALL-WHEEL DRIVE SE-MODEL 5 PASSENGER 2.0L - TURBO.. LEATHER.. HEATED SEATS.. PANORAMIC SUNROOF.. BACK-UP CAMERA.. BLUETOOTH SYST,White,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,16000
181,181,2015 Honda Pilot 2WD 4dr LX,15995,City of Toronto < 9 minutes ago,"2015 HONDA PILOT 4DR LX SUV CLEAN 7 PASSENGERS BLUETOOTH WELL MAINTAINED 222 KMS $15,995 SAFETY INCLUDED. 416 282-2231 6523 KINGSTON RD SCARBOROUGH M1C 1L5 WE FINANCE EVERYONE GOOD, BAD, AND NEW ...
Two locations to serve you better!
Automatic | 222,650 km",Used,2015.0,Honda,Pilot,2WD 4dr LX,Black,"SUV, Crossover",,,Front-wheel drive (FWD),Automatic,222650
182,182,2021 Ford Escape Titanium AWD Navigation Panoramic Sunroof,38998,Mississauga / Peel Region < 10 minutes ago,"You'll have no regrets driving this dependable 2021 Ford Escape AWD Tire Specific Low Tire Pressure Warning, Side Impact Beams, Safety Canopy System Curtain 1st And 2nd Row Airbags, Rear child safety ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic | 15,552 km",Used,2021.0,Ford,Escape,Titanium AWD Navigation Panoramic Sunroof Remote Start,Other,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,15552
183,183,2018 Ford EcoSport SE | 4WD | SUNROOF | B\\U CAM | NAV | RMT STARTER,"$20,950.00
$21,950.00",Oakville / Halton Region < 10 minutes ago,"TRADE IN!! This 2018 For Ecosport comes equipped with 4wd, automatic transmission, cloth interior, blind spot assist, power driver seat, bluetooth, steering wheel audio control, back up camera, ...
Automatic | 94,030 km | CARFAX Canada Report",Used,2018.0,Ford,EcoSport,SE | 4WD | SUNROOF | B\\U CAM | NAV | RMT STARTER,Other,"SUV, Crossover",4,5,4 x 4,Automatic,94030
184,184,2019 Lexus ES 350 ** Touring with Navigation ** Lexus Certified **,39995,City of Toronto < 10 minutes ago,"This Nebula Grey on Black Leather 2019 ES350 Premium Package is a one owner vehicle ,Lexus Certified , All services records, New Tires and new Brakes , Comes with Navigation and Back up Camera, ...
In the heart of Toronto. We are Family run, Customer Driven, Since 1958.
Automatic | 58,477 km",Used,2019.0,Lexus,ES,** Touring with Navigation ** Lexus Certified **,Other,Sedan,4,5,Front-wheel drive (FWD),Automatic,58477
185,185,2021 Lexus RX 350 F Sport Pkg 3|Red Interior|Lexus Certified|AWD|,61500,City of Toronto < 11 minutes ago,"Explore the recent trade-in 2021 LEXUS RX 350, this is one of a kind vehicle that you don`t want to miss out. Finished in GREY exterior color. This vehicle currently has 41,107 KMs on the clock. As ...
#1 Canadian Lexus Dealer for Excellence in Client Satisfaction!
Automatic | 41,107 km | CARFAX Canada Report",Used,2021.0,Lexus,RX,F Sport Pkg 3|Red Interior|Lexus Certified|AWD|,Other,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,41107
186,186,2007 Honda Accord SE V6 Sedan,7500,Toronto < 12 minutes ago,"Must see 2007 Accord SE V6. Classic VTEC engine, great for car lovers for this great age of Honda vehicle. I love this car, however I am consolidating my transportation. Please reach out - flexible ...
Automatic | 265,000 km",Used,2007.0,Honda,Accord,SE,Blue,Sedan,4,5,Front-wheel drive (FWD),Automatic,265000
187,187,"2021 Porsche 911 Turbo S, 640HP, CARBON CERAMIC, SURROUND VIEW",329800,City of Toronto < 12 minutes ago,"2021 PORSCHE 911 TURBO S | 3.8L H6 TWIN TURBO 640HP | AWD | SPORT CHRONO PLUS PACKAGE | NAVIGATION | HEATED AND VENTED SEATS | ADAPTIVE SPORT SEATS PLUS | PORSCHE ENTRY & DRIVE | POWER STEERING PLUS ...
The future of luxury lives here.
Automatic | 3,413 km",Used,2021.0,Porsche,911,"Turbo S, 640HP, CARBON CERAMIC, SURROUND VIEW",Silver,Coupe (2 door),2,4,All-wheel drive (AWD),Automatic,3413
188,188,2012 BMW 1 Series 128i,15999,City of Toronto < 13 minutes ago,"WOWWW!! BMW CAB!! UNBELIEVABLELY NICE CAR FOR AMAZING PRICE! NO ACCIDENT BRING YOUR TRADE! SCHWARZ BLACK ON RED INTERIOR!! Buy with confidence! Certification included with no hidden fees. Financing ...
FINANCING AVAILABLE! GOOD, BAD OR NO CREDIT? WE CAN HELP! SERVING THE GTA SINCE 1979! CALL US AT 416 699-6630 OR VISIT US ONLINE!
118,797 km",Used,2012.0,BMW,1-Series,128i,Black,Sedan,2,,Rear-wheel drive (RWD),,118797
189,189,2012 Ford F-250 XL Reg. Cab Long Box 2WD,21999,City of Toronto < 13 minutes ago,"GMM Auto Sales Limited CarFax available for every vehicle on the lot. This vehicle is being sold safety certified at the advertised price. Taxes and Licensing are EXTRA. GMM Auto Sales is a large ...
Automatic | 148,980 km",Used,2012.0,Ford,F-250,XL Reg. Cab Long Box 2WD,White,Pickup Truck,2,2,Rear-wheel drive (RWD),Automatic,148980
190,190,2014 Ram 1500 SLT | CLEAN CARFAX REPORT | SPORT BLACK RIMS | CERTIFIED,"$13,995.00
$15,995.00",City of Toronto < 14 minutes ago,"2014 RAM 1500 CREW CAB!! ONLY $13,995 + HST+ Licence Fees. Fully Certified, Beautiful Local Truck with a CLEAN CarFax report available , Loaded with 6 passenger for the whole crew , crew cab, loaded ...
Automatic | 292,639 km",Used,2014.0,Ram,1500,SLT,Black,Pickup Truck,,,4 x 4,Automatic,292639
191,191,2018 Mercedes-Benz GLC,35480,City of Toronto < 14 minutes ago,"2018 Mercedes-Benz GLC GLC 300 4MATIC SUV Automatic 2L 4-Cyl Gasoline One Owner, No Accident, Clean Carfax, LKA, CPA, NAVI, Sunroof This is a Financing price: $35480 the cash Price is: $36888 The ...
107,000 km",Used,2018.0,Mercedes-Benz,GLC,GLC 300 GLC 300 4MATIC SUV,White,"SUV, Crossover",,,All-wheel drive (AWD),,107000
192,192,2012 Ford Focus SE,5995,City of Toronto 30/10/2022,"Engine: 4 Cylinder Engine 2.0L L/100Km City: 7.8 L/100Km Hwy: 5.5 Safety Equipment Anti-lock braking system (ABS) w/electronic brake assist AdvanceTrac w/electronic stability control (ESC) Dual stage ...
Automatic | 157,002 km",Used,2012.0,Ford,Focus,SE,Grey,Sedan,4,5,Front-wheel drive (FWD),Automatic,157002
193,193,2017 Hyundai Tucson,Please Contact,Provincial Top Ad:  Guelph 28/10/2022,"KBB.com 10 Best SUVs Under $25,000. This Hyundai Tucson delivers a Intercooled Turbo Regular Unleaded I-4 1.6 L/97 engine powering this Automatic transmission. CHROMIUM SILVER, BLACK, LEATHER SEAT ...
Automatic | 130,465 km | CARFAX Canada Report",Used,2017.0,Hyundai,Tucson,,Silver,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,130465
194,194,"2014 Ram 2500 8FT LONG BOX! ONE OWNER, CITY OWNED! WE FINANCE!",16999,Mississauga / Peel Region 27/10/2022,"***CLEAN CARFAX*** *Sale Price plus HST and Licensing only! *Safety Inspection included at Full Asking Price! *This vehicle qualifies for an extended warranty with different terms and coverages ...
Automatic | 254,000 km",Used,2014.0,Ram,2500,"8FT LONG BOX! ONE OWNER, CITY OWNED! WE FINANCE!",Other,Pickup Truck,2,3,Rear-wheel drive (RWD),Automatic,254000
195,195,"2021 Tesla Model 3 Standard Range Plus w/ Autopilot, Glass Rood, Navigation",60590,City of Toronto 28/10/2022,"NO ACCIDENTS / CLEAN CARFAX / and more! Clutch is the largest online used car retailer in Canada, delivering a seamless, hassle-free car-buying experience to drivers everywhere. Shop thousands of ...
Automatic | 31,170 km | CARFAX Canada Report",Used,2021.0,Tesla,Model 3,"Standard Range Plus w/ Autopilot, Glass Rood, Navigation",Black,Sedan,,,Rear-wheel drive (RWD),Automatic,31170
196,196,2020 Mercedes-Benz GLC 300 /AMG PKG/SPORT PKG/ 360 CAM/ PANO/ ACC GLC 300 AMG,54495,Oakville / Halton Region < 4 hours ago,"Just arrived at Automotive Sales Depot….< b> 2020 MERCEDES-BENZ GLC300< b>< p> ACCIDENT FREEin.< b>AMG PACKAGE, SPORT PACKAGE, PANORAMIC SUNROOF, NAVIGATION, 360 DEGREE CAMERA, ADAPTIVE CRUISE ...
Automatic | 33,599 km",Used,2020.0,Mercedes-Benz,GLC,GLC 300 AMG,White,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,33599
197,197,2021 Chevrolet Silverado 1500 LIKE NEW RST-Z71-EDITION 5 PASSENGER 5.3L - V8.. 4X4.. CREW-CAB.. SHO,62995,Markham / York Region < 26 minutes ago,"5.3L - V8 - VORTEC - OHV 16 VALVE ENGINE 4X4 SYSTEM CREW-CAB SHORT BOX RUNNING BOARDS TRACTION CONTROL TOW SUPPORT TRAILER BRAKE LEATHER INTERIOR HEATED FRONT SEATS HEATED STEERING WHEEL BOSE PREMIUM ...
Don't Trust Your Luck! TRUST OUR REPUTATION
Automatic | 25,000 km",Used,2021.0,Chevrolet,Silverado 1500,LIKE NEW RST-Z71-EDITION 5 PASSENGER 5.3L - V8.. 4X4.. CREW-CAB.. SHORTY.. LEATHER.. HEATED SEATS &amp; WHEEL.. POWER SUNROOF..,Black,Other,4,5,4 x 4,Automatic,25000
198,198,2011 Ford F-550 Dump Truck Diesel Dually Crew Cab 2WD,39999,City of Toronto < 27 minutes ago,"GMM Auto Sales Limited CarFax available for every vehicle on the lot. This vehicle is being sold safety certified at the advertised price. Taxes and Licensing are EXTRA.GMM Auto Sales is a large ...
127,844 km",Used,2011.0,Ford,Other,Dump Truck Diesel Dually Crew Cab 2WD,White,Other,4,5,Other,,127844
199,199,2022 RAM 1500 Classic Warlock 4x4 Crew Cab 5'7 Box Remote Start,"$57,598.00
MSRP: $66,125.00",NEW CAR City of Toronto < 27 minutes ago,"This brand new 2022 RAM 1500 Classic Warlock 4x4 Crew Cab with a 5'7'' box is a force to be reckoned with! It boasts a Regular Unleaded V-8 5.7 L/345 engine powering this Automatic transmission. ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic",New,2022.0,Ram,1500,Warlock 4x4 Crew Cab 5'7 Box Remote Start HEMI V8 Tech Pkg I,Other,Pickup Truck,4,6,4 x 4,Automatic,
200,200,2020 Kia Sorento LX+ V6,31995,Markham / York Region < 28 minutes ago,"L/100Km City: 12.3 L/100Km Hwy: 9.5
For over 60 years... It’s not a deal unless it’s a Plaza deal!
Automatic | 51,868 km | CARFAX Canada Report",Used,2020.0,Kia,Sorento,LX+ V6,Other,"SUV, Crossover",4,7,All-wheel drive (AWD),Automatic,51868
201,201,2019 Audi SQ5 Technik Pkg|Bang & Olufsen|Quattro|Safety Certifie,57650,City of Toronto < 28 minutes ago,"Explore the recent trade-in 2019 AUDI SQ5, this is one of a kind vehicle that you don`t want to miss out. Finished in BLACK exterior color. This vehicle currently has 44,854 KMs on the clock. As part ...
#1 Canadian Lexus Dealer for Excellence in Client Satisfaction!
Automatic | 44,854 km | CARFAX Canada Report",Used,2019.0,Audi,SQ5,Technik Pkg|Bang & Olufsen|Quattro|Safety Certifie,Other,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,44854
202,202,2021 BMW X2 xDrive28i Navigation Panoramic Sunroof,49994,Mississauga / Peel Region < 29 minutes ago,"This BMW X2 has a strong Intercooled Turbo Premium Unleaded I-4 2.0 L Engine powering this Automatic transmission. Heated front seats, Front bucket seats, This Vehicle Has A Clean Carfax Report, Only ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic | 8,783 km",Used,2021.0,BMW,X2,XDrive28i Navigation Panoramic Sunroof Apple Car play 19Alloy,Other,"Minivan, Van",4,5,All-wheel drive (AWD),Automatic,8783
203,203,"2016 Lexus ES 350 ** Navigation ** Certified ** Only 25,300 km **",32995,City of Toronto < 29 minutes ago,"Low Mileage, This Nebula Grey on Black Leather 2016 ES350 Touring Package is one owner vehicle , Certified , All services records, Comes with Navigation and Back up Camera, Heated Steering Wheel, ...
In the heart of Toronto. We are Family run, Customer Driven, Since 1958.
Automatic | 25,300 km",Used,2016.0,Lexus,ES,"** Navigation ** Certified ** Only 25,300 km **",Other,Sedan,4,5,Front-wheel drive (FWD),Automatic,25300
